ID,Data Center,App,Entry Time,WAN Duration
803,DC1,SES,1510599139517,851
808,DC1,SES,1510599139519,849
815,DC1,SES,1510599139522,846
821,DC1,SES,1510599139525,843
827,DC1,SES,1510599139528,840
833,DC1,SES,1510599139531,837
839,DC1,SES,1510599139533,835
845,DC1,SES,1510599139539,829
840,DC1,SES,1510599139534,834
857,DC1,SES,1510599139545,824
852,DC1,SES,1510599139543,826
869,DC1,SES,1510599139550,819
864,DC1,SES,1510599139548,821
870,DC1,SES,1510599139551,818
876,DC1,SES,1510599139554,815
882,DC1,SES,1510599139557,812
888,DC1,SES,1510599139560,809
894,DC1,SES,1510599139564,805
911,DC1,SES,1510599139575,794
904,DC1,SES,1510599139571,798
923,DC1,SES,1510599139583,787
916,DC1,SES,1510599139578,792
928,DC1,SES,1510599139586,784
935,DC1,SES,1510599139592,778
941,DC1,SES,1510599139596,774
947,DC1,SES,1510599139599,771
953,DC1,SES,1510599139602,768
959,DC1,SES,1510599139604,766
965,DC1,SES,1510599139607,763
960,DC1,SES,1510599139605,765
977,DC1,SES,1510599139612,759
972,DC1,SES,1510599139610,761
989,DC1,SES,1510599139617,754
984,DC1,SES,1510599139615,756
990,DC1,SES,1510599139617,754
996,DC1,SES,1510599139620,751
544,DC1,SES,1510599139315,1077
551,DC1,SES,1510599139319,1073
556,DC1,SES,1510599139321,1071
563,DC1,SES,1510599139325,1068
568,DC1,SES,1510599139330,1063
575,DC1,SES,1510599139335,1058
581,DC1,SES,1510599139340,1053
587,DC1,SES,1510599139344,1049
593,DC1,SES,1510599139348,1045
599,DC1,SES,1510599139352,1041
603,DC1,SES,1510599139355,1038
609,DC1,SES,1510599139366,1027
615,DC1,SES,1510599139377,1016
610,DC1,SES,1510599139367,1027
627,DC1,SES,1510599139396,998
622,DC1,SES,1510599139389,1005
639,DC1,SES,1510599139408,986
634,DC1,SES,1510599139403,991
640,DC1,SES,1510599139409,985
646,DC1,SES,1510599139415,980
652,DC1,SES,1510599139419,976
658,DC1,SES,1510599139424,971
